basket_id,open_time,symbol,direction,regime,adx,atr,atr_expansion_rate,impulse_score,dist_ema_abs,spread_points,hour,adx_accel,consecutive_same_dir,ema_slope,profit,hit_bsl,hit_tp,mae,max_depth,label_class,y_steamroller
83,2026.05.14 17:05:53,EURUSD,SELL,rotation,16.58,0.00032,0.454545,6.6761,3.7224,6,17,-12.91,2,0.00001,10.01,0,1,-0.16,1,winner,0
84,2026.05.21 16:01:14,EURUSD,SELL,pullback_trend,24.92,0.00040,0.25,21.3285,2.1938,6,16,8.34,3,0.00000,-25.02,1,0,-25.02,5,steamroller_bsl,1
85,2026.05.25 13:28:33,EURUSD,BUY,pullback_trend,28.75,0.00024,-0.4,8.4805,0.482,6,13,3.83,1,-0.00002,10.22,0,1,-11.68,5,winner,0
86,2026.05.27 12:25:00,EURUSD,SELL,rotation,17.66,0.00045,0.875,10.9105,1.8419,4,12,-11.09,1,0.00010,10.01,0,1,-3.22,3,winner,0
87,2026.05.28 05:30:24,EURUSD,SELL,liquidity_vacuum,25.25,0.00018,-0.6,18.9311,7.4044,4,5,7.59,2,0.00001,-25.09,1,0,-25.09,5,steamroller_bsl,1
88,2026.05.28 18:11:31,EURUSD,BUY,pullback_trend,27.52,0.00020,0.111111,7.5041,5.0121,4,18,2.27,1,0.00000,10.13,0,1,-10.52,5,winner,0
89,2026.05.29 17:21:17,EURUSD,BUY,pullback_trend,28.33,0.00027,0.35,7.2003,3.5213,4,17,0.81,2,-0.00002,-25.03,1,0,-25.03,5,steamroller_bsl,1
90,2026.06.01 15:29:40,EURUSD,SELL,pullback_trend,26.23,0.00032,0.185185,3.6208,4.2759,4,15,-2.1,1,-0.00000,10.09,0,1,-13.11,5,winner,0
91,2026.06.03 14:13:28,EURUSD,SELL,grind,21.97,0.00036,0.125,2.8886,1.3543,4,14,-4.26,2,-0.00003,10.04,0,1,-12.66,5,winner,0
92,2026.06.05 18:56:37,EURUSD,SELL,false_breakout,18.38,0.00028,-0.222222,4.4579,10.6316,4,18,-3.59,3,0.00000,10.03,0,1,-18.77,5,winner,0
93,2026.06.11 22:21:43,EURUSD,BUY,false_breakout,16.04,0.00018,-0.357143,3.0014,9.2055,5,22,-2.34,1,-0.00002,10.06,0,1,-6.94,5,winner,0
94,2026.06.15 00:49:35,EURUSD,BUY,liquidity_vacuum,22.81,0.00027,0.5,20.7636,4.4945,4,0,6.77,2,-0.00001,10.06,0,1,-10.24,5,winner,0
95,2026.06.16 18:28:36,EURUSD,BUY,pullback_trend,24.31,0.00014,-0.481481,5.2813,3.1253,4,18,1.5,3,-0.00001,-25.32,1,0,-25.32,4,steamroller_bsl,1
96,2026.06.17 22:38:21,EURUSD,SELL,false_breakout,21.79,0.00017,0.214286,7.3286,17.9429,4,22,-2.52,1,0.00001,10.00,0,1,-10.30,5,winner,0
97,2026.06.18 12:51:40,EURUSD,SELL,impulse,26.17,0.00056,2.294118,33.548,2.5874,4,12,4.38,2,0.00003,10.01,0,1,-3.47,4,winner,0
98,2026.06.18 20:13:15,EURUSD,SELL,pullback_trend,27.45,0.00032,-0.428571,4.6398,1.9194,4,20,1.28,3,0.00002,10.02,0,1,-3.32,4,winner,0
99,2026.06.22 08:35:43,EURUSD,SELL,grind,25.32,0.00037,0.15625,4.0239,1.0455,4,8,-2.13,4,0.00000,10.10,0,1,-2.38,4,winner,0
100,2026.06.22 14:48:41,EURUSD,SELL,grind,23.93,0.00055,0.486486,7.8237,1.0353,4,14,-1.39,5,-0.00002,10.05,0,1,-0.93,2,winner,0
101,2026.06.23 13:34:30,EURUSD,SELL,pullback_trend,22.93,0.00044,-0.2,3.7406,2.1623,4,13,-1.0,6,0.00000,10.01,0,1,-0.65,2,winner,0
102,2026.06.24 11:34:41,EURUSD,SELL,pullback_trend,22.45,0.00029,-0.340909,4.3735,3.0942,4,11,-0.48,7,0.00001,-25.08,1,0,-25.08,5,steamroller_bsl,1
103,2026.06.26 11:35:26,EURUSD,BUY,rotation,15.39,0.00031,0.068966,2.2725,3.1314,4,11,-7.06,1,-0.00002,10.25,0,1,-1.15,3,winner,0
104,2026.06.26 14:41:31,EURUSD,BUY,rotation,20.44,0.00048,0.548387,17.0662,1.9293,4,14,5.05,2,-0.00002,10.08,0,1,-11.27,5,winner,0
105,2026.06.29 17:22:40,EURUSD,BUY,pullback_trend,28.09,0.00023,-0.520833,17.8209,3.6837,4,17,7.65,3,-0.00001,10.44,0,1,-10.26,5,winner,0
106,2026.06.30 16:55:05,EURUSD,BUY,pullback_trend,28.82,0.00028,0.217391,6.2625,1.7142,4,16,0.73,4,-0.00003,10.04,0,1,-5.81,5,winner,0
107,2026.07.02 10:02:15,EURUSD,BUY,pullback_trend,23.20,0.00035,0.25,5.796,2.7838,4,10,-5.62,5,-0.00002,10.02,0,1,-2.86,4,winner,0
108,2026.07.02 14:40:32,EURUSD,BUY,expansion,26.92,0.00065,0.857143,20.1051,2.3746,4,14,3.72,6,-0.00007,10.08,0,1,-15.87,5,winner,0
109,2026.07.09 10:36:21,EURUSD,SELL,grind,24.54,0.00022,-0.661538,1.428,0.5122,4,10,-2.38,1,0.00001,11.00,0,1,-8.38,5,winner,0
110,2026.07.10 15:09:05,EURUSD,SELL,rotation,14.62,0.00043,0.954545,10.6437,0.3931,4,15,-9.92,2,0.00001,10.02,0,1,-2.97,3,winner,0
111,2026.07.12 23:41:02,EURUSD,SELL,impulse,27.81,0.00014,-0.674419,29.9973,8.069,4,23,13.19,3,0.00000,10.02,0,1,-22.18,5,winner,0
